participant_id,trial_index,choice,choice_B,problem_id,lottery_A,lottery_B,probabilities_A,outcomes_A,probabilities_B,outcomes_B
P001,1,A,0,problem9392,75% chance of 3; 3.125% chance of 32.5; 9.375% chance of 33.5; 9.375% chance of 34.5; 3.125% chance of 35.5,90% chance of 11; 10% chance of 0,"[0.75, 0.03125, 0.09375, 0.09375, 0.03125]","[3.0, 32.5, 33.5, 34.5, 35.5]","[0.9, 0.1]","[11.0, 0.0]"
P001,2,B,1,problem6380,75% chance of 39; 25% chance of -5,75% chance of 21; 25% chance of 37,"[0.75, 0.25]","[39.0, -5.0]","[0.75, 0.25]","[21.0, 37.0]"
P001,3,A,0,problem14223,90% chance of 20; 5% chance of 28; 2.5% chance of 30; 1.25% chance of 34; 0.625% chance of 42; 0.3125% chance of 58; 0.3125% chance of 90,25 for sure,"[0.9, 0.05, 0.025, 0.0125, 0.00625, 0.003125, 0.003125]","[20.0, 28.0, 30.0, 34.0, 42.0, 58.0, 90.0]",[1.0],[25.0]
P001,4,B,1,problem9421,4 for sure,75% chance of -44; 25% chance of 106,[1.0],[4.0],"[0.75, 0.25]","[-44.0, 106.0]"
P001,5,A,0,problem14539,60% chance of 11; 40% chance of 14,40% chance of 68; 60% chance of -25,"[0.6, 0.4]","[11.0, 14.0]","[0.4, 0.6]","[68.0, -25.0]"
P001,6,B,1,problem10224,10% chance of -17; 45% chance of -9; 22.5% chance of -11; 22.5% chance of -15,-6 for sure,"[0.1, 0.45, 0.225, 0.225]","[-17.0, -9.0, -11.0, -15.0]",[1.0],[-6.0]
P001,7,B,1,problem13027,17 for sure,80% chance of -15; 10% chance of 117; 10% chance of 115,[1.0],[17.0],"[0.8, 0.1, 0.1]","[-15.0, 117.0, 115.0]"
P001,8,B,1,problem6259,50% chance of -16; 50% chance of -3,0 for sure,"[0.5, 0.5]","[-16.0, -3.0]",[1.0],[0.0]
P001,9,B,1,problem6413,1% chance of -5; 99% chance of 11,95% chance of 14; 5% chance of -39,"[0.01, 0.99]","[-5.0, 11.0]","[0.95, 0.05]","[14.0, -39.0]"
P001,10,A,0,problem10722,80% chance of -2; 10% chance of -2; 5% chance of 0; 2.5% chance of 4; 1.25% chance of 12; 0.625% chance of 28; 0.3125% chance of 60; 0.15625% chance of 124; 0.15625% chance of 252,-3 for sure,"[0.8, 0.1, 0.05, 0.025, 0.0125, 0.00625, 0.003125, 0.0015625, 0.0015625]","[-2.0, -2.0, 0.0, 4.0, 12.0, 28.0, 60.0, 124.0, 252.0]",[1.0],[-3.0]
P001,11,A,0,problem11179,99% chance of 31; 1% chance of 87,40% chance of 108; 60% chance of -29,"[0.99, 0.01]","[31.0, 87.0]","[0.4, 0.6]","[108.0, -29.0]"
P001,12,B,1,problem1573,60% chance of -12; 40% chance of 46,75% chance of 20; 25% chance of 12,"[0.6, 0.4]","[-12.0, 46.0]","[0.75, 0.25]","[20.0, 12.0]"
P001,13,A,0,problem2394,80% chance of 24; 10% chance of 23.5; 10% chance of 24.5,95% chance of 25; 5% chance of -6,"[0.8, 0.1, 0.1]","[24.0, 23.5, 24.5]","[0.95, 0.05]","[25.0, -6.0]"
P001,14,A,0,problem11191,25% chance of -1; 75% chance of 2,20% chance of -6; 80% chance of -10,"[0.25, 0.75]","[-1.0, 2.0]","[0.2, 0.8]","[-6.0, -10.0]"
P001,15,B,1,problem9445,10 for sure,25% chance of -30; 75% chance of 26,[1.0],[10.0],"[0.25, 0.75]","[-30.0, 26.0]"
P001,16,A,0,problem4833,40% chance of 5; 30% chance of 6; 15% chance of 8; 7.5% chance of 12; 7.5% chance of 20,3 for sure,"[0.4, 0.3, 0.15, 0.075, 0.075]","[5.0, 6.0, 8.0, 12.0, 20.0]",[1.0],[3.0]
