row_id,Problem,Feedback,n,Block,Ha,pHa,La,Hb,pHb,Lb,LotShapeB,LotNumB,Amb,Corr,bRate,bRate_std,lottery_A,lottery_B,ev_A,ev_B,sd_A,sd_B,min_A,min_B,max_A,max_B,n_outcomes_A,n_outcomes_B,majority_choice
4,5,False,15,1,26,1.0,26,45,0.75,-36,2,5,False,0,0.5866666666666667,0.4501851470969101,$26 for sure,25% chance of -$36; 37.5% chance of $41; 18.75% chance of $43; 9.375% chance of $47; 4.688% chance of $55; 4.688% chance of $71,26.0,24.75,0.0,35.688758734369,26.0,-36.0,26.0,71.0,1,6,B
6,7,False,15,1,-6,1.0,-6,24,0.2,-5,1,2,False,0,0.8666666666666667,0.3518657752744984,-$6 for sure,80% chance of -$5; 10% chance of $23.5; 10% chance of $24.5,-6.0,0.8000000000000003,0.0,11.602154972245458,-6.0,-5.0,-6.0,24.5,1,3,B
8,8,False,15,1,27,1.0,27,89,0.5,-24,0,1,False,0,0.4533333333333333,0.4033195589934446,$27 for sure,50% chance of -$24; 50% chance of $89,27.0,32.5,0.0,56.5,27.0,-24.0,27.0,89.0,1,2,A
19,17,False,16,1,-5,1.0,-5,23,0.01,-13,1,6,False,0,0.325,0.3991657967979388,-$5 for sure,99% chance of -$13; 0.031% chance of $20.5; 0.156% chance of $21.5; 0.312% chance of $22.5; 0.312% chance of $23.5; 0.156% chance of $24.5; 0.031% chance of $25.5,-5.0,-12.639999999999997,0.0,3.5836992061276574,-5.0,-13.0,-5.0,25.5,1,7,A
22,20,False,16,1,0,1.0,0,63,0.25,-27,0,1,False,0,0.575,0.443471156521669,$0 for sure,75% chance of -$27; 25% chance of $63,0.0,-4.5,0.0,38.97114317029974,0.0,-27.0,0.0,63.0,1,2,B
30,27,False,16,1,-3,0.2,-12,-5,0.6,-18,1,4,False,0,0.4749999999999999,0.3714835124201342,20% chance of -$3; 80% chance of -$12,40% chance of -$18; 7.5% chance of -$6.5; 22.5% chance of -$5.5; 22.5% chance of -$4.5; 7.5% chance of -$3.5,-10.200000000000001,-10.2,3.6,6.403905058634146,-12.0,-18.0,-3.0,-3.5,2,5,A
32,29,False,16,1,30,0.5,12,34,0.05,27,0,1,False,0,0.825,0.2620432534271139,50% chance of $30; 50% chance of $12,95% chance of $27; 5% chance of $34,21.0,27.349999999999998,9.0,1.5256146302392357,12.0,27.0,30.0,34.0,2,2,B
34,30,False,16,1,6,0.5,-2,18,0.75,-35,2,5,False,0,0.775,0.2720294101747089,50% chance of $6; 50% chance of -$2,25% chance of -$35; 37.5% chance of $14; 18.75% chance of $16; 9.375% chance of $20; 4.688% chance of $28; 4.688% chance of $44,2.0,4.75,4.0,23.878599205146017,-2.0,-35.0,6.0,44.0,2,6,B
36,31,False,16,1,-8,0.9,-27,64,0.25,-40,1,4,False,1,0.5375,0.448516071804196,90% chance of -$8; 10% chance of -$27,75% chance of -$40; 3.125% chance of $62.5; 9.375% chance of $63.5; 9.375% chance of $64.5; 3.125% chance of $65.5,-9.899999999999999,-14.0,5.699999999999999,45.03540274051071,-27.0,-40.0,-8.0,65.5,2,5,B
42,36,False,16,1,7,0.1,4,1,0.6,1,1,4,False,0,0.1,0.2422120283277993,10% chance of $7; 90% chance of $4,40% chance of $1; 7.5% chance of -$0.5; 22.5% chance of $0.5; 22.5% chance of $1.5; 7.5% chance of $2.5,4.3,1.0,0.9,0.6708203932499369,4.0,-0.5,7.0,2.5,2,5,A
44,37,False,16,1,27,1.0,27,24,0.5,11,1,2,False,0,0.2,0.2921186973360886,$27 for sure,50% chance of $11; 25% chance of $23.5; 25% chance of $24.5,27.0,17.5,0.0,6.509608283145768,27.0,11.0,27.0,24.5,1,3,A
46,38,False,32,1,33,0.5,-15,17,0.6,4,2,4,False,0,0.54375,0.4196292526474047,50% chance of $33; 50% chance of -$15,40% chance of $4; 30% chance of $14; 15% chance of $16; 7.5% chance of $20; 7.5% chance of $28,9.0,11.800000000000004,24.0,7.291090453423275,-15.0,4.0,33.0,28.0,2,5,B
51,42,False,16,1,14,0.5,-34,22,0.1,-20,0,1,False,0,0.4125,0.3304037933599835,50% chance of $14; 50% chance of -$34,90% chance of -$20; 10% chance of $22,-10.0,-15.8,24.0,12.6,-34.0,-20.0,14.0,22.0,2,2,A
53,43,False,16,1,-8,0.2,-8,1,0.8,-43,0,1,False,0,0.3625,0.3947573094109004,20% chance of -$8; 80% chance of -$8,20% chance of -$43; 80% chance of $1,-8.0,-7.799999999999998,0.0,17.6,-8.0,-43.0,-8.0,1.0,2,2,A
57,47,False,16,1,29,0.5,-31,39,0.2,-14,0,1,False,0,0.3,0.3502380143083653,50% chance of $29; 50% chance of -$31,80% chance of -$14; 20% chance of $39,-1.0,-3.4000000000000004,30.0,21.200000000000003,-31.0,-14.0,29.0,39.0,2,2,A
60,49,False,16,1,42,0.25,26,97,0.2,13,0,1,False,0,0.3875,0.4224926034855522,25% chance of $42; 75% chance of $26,80% chance of $13; 20% chance of $97,30.0,29.800000000000004,6.928203230275509,33.599999999999994,26.0,13.0,42.0,97.0,2,2,A
62,50,False,16,1,18,0.99,-4,94,0.5,-47,0,1,False,0,0.4625,0.4660114447807764,99% chance of $18; 1% chance of -$4,50% chance of -$47; 50% chance of $94,17.78,23.5,2.188972361634565,70.5,-4.0,-47.0,18.0,94.0,2,2,A
67,55,False,16,1,-9,1.0,-9,15,0.5,-27,1,2,False,0,0.6499999999999999,0.322490309931942,-$9 for sure,50% chance of -$27; 25% chance of $14.5; 25% chance of $15.5,-9.0,-6.0,0.0,21.002975979608223,-9.0,-27.0,-9.0,15.5,1,3,B
69,57,False,16,1,7,0.6,-18,60,0.1,-3,0,1,False,1,0.7499999999999998,0.2875181153713043,60% chance of $7; 40% chance of -$18,90% chance of -$3; 10% chance of $60,-3.0,3.3,12.24744871391589,18.900000000000002,-18.0,-3.0,7.0,60.0,2,2,B
71,58,False,32,1,5,1.0,5,20,0.4,0,0,1,False,0,0.55,0.3663243759117004,$5 for sure,60% chance of $0; 40% chance of $20,5.0,8.0,0.0,9.797958971132712,5.0,0.0,5.0,20.0,1,2,B
80,65,False,16,1,9,0.8,1,20,0.1,0,0,1,False,0,0.2250000000000001,0.2516611478423583,80% chance of $9; 20% chance of $1,90% chance of $0; 10% chance of $20,7.4,2.0,3.1999999999999997,6.0,1.0,0.0,9.0,20.0,2,2,A
83,67,False,16,1,50,0.01,15,25,0.6,-2,1,2,False,1,0.3250000000000001,0.3855731664245668,1% chance of $50; 99% chance of $15,40% chance of -$2; 30% chance of $24.5; 30% chance of $25.5,15.35,14.2,3.4824560298731697,13.23291351139272,15.0,-2.0,50.0,25.5,2,3,A
86,69,False,16,1,44,0.5,0,22,1.0,22,0,1,False,0,0.7,0.3723797345005049,50% chance of $44; 50% chance of $0,$22 for sure,22.0,22.0,22.0,0.0,0.0,22.0,44.0,22.0,2,1,B
108,88,False,16,1,20,1.0,20,52,0.2,16,0,1,False,0,0.75,0.2683281572999748,$20 for sure,80% chance of $16; 20% chance of $52,20.0,23.200000000000003,0.0,14.4,20.0,16.0,20.0,52.0,1,2,B
111,91,False,16,1,-8,0.99,-40,53,0.1,-15,1,8,False,0,0.7124999999999999,0.3344149119482165,99% chance of -$8; 1% chance of -$40,90% chance of -$15; 0.078% chance of $49.5; 0.547% chance of $50.5; 1.641% chance of $51.5; 2.734% chance of $52.5; 2.734% chance of $53.5; 1.641% chance of $54.5; 0.547% chance of $55.5; 0.078% chance of $56.5,-8.32,-8.2,3.183959798741185,20.404288764865097,-40.0,-15.0,-8.0,56.5,2,9,B
112,92,False,16,1,14,1.0,14,31,0.5,1,0,1,False,0,0.7,0.3183289703016886,$14 for sure,50% chance of $1; 50% chance of $31,14.0,16.0,0.0,15.0,14.0,1.0,14.0,31.0,1,2,B
119,97,False,16,1,88,0.25,-41,-6,0.75,-35,1,6,False,0,0.225,0.2816617356570348,25% chance of $88; 75% chance of -$41,25% chance of -$35; 2.344% chance of -$8.5; 11.719% chance of -$7.5; 23.438% chance of -$6.5; 23.438% chance of -$5.5; 11.719% chance of -$4.5; 2.344% chance of -$3.5,-8.75,-13.25,55.858638544096294,12.59464171781,-41.0,-35.0,88.0,-3.5,2,7,A
123,100,False,16,1,-5,1.0,-5,6,0.8,-14,0,1,False,0,0.7875,0.3138470965295043,-$5 for sure,20% chance of -$14; 80% chance of $6,-5.0,2.0000000000000013,0.0,7.999999999999999,-5.0,-14.0,-5.0,6.0,1,2,B
125,102,False,16,1,18,0.99,-17,22,0.95,-17,0,1,False,0,0.7125,0.3649200825751669,99% chance of $18; 1% chance of -$17,5% chance of -$17; 95% chance of $22,17.65,20.049999999999997,3.4824560298731715,8.499852939904319,-17.0,-17.0,18.0,22.0,2,2,B
131,108,False,16,1,63,0.25,3,19,0.8,12,0,1,False,-1,0.4875,0.4379878232706171,25% chance of $63; 75% chance of $3,20% chance of $12; 80% chance of $19,18.0,17.6,25.98076211353316,2.8,3.0,12.0,63.0,19.0,2,2,A
133,109,False,16,1,16,0.01,4,58,0.2,-9,0,1,False,0,0.275,0.3991657967979387,1% chance of $16; 99% chance of $4,80% chance of -$9; 20% chance of $58,4.12,4.400000000000001,1.193984924527944,26.8,4.0,-9.0,16.0,58.0,2,2,A
134,110,False,16,1,69,0.1,13,40,0.25,19,2,5,False,0,0.6625000000000001,0.3242941051987634,10% chance of $69; 90% chance of $13,75% chance of $19; 12.5% chance of $36; 6.25% chance of $38; 3.125% chance of $42; 1.562% chance of $50; 1.562% chance of $66,18.6,24.25,16.8,9.858372076565177,13.0,19.0,69.0,66.0,2,6,B
