participant_id,history_type,history_k,n,A_targets,B_targets,accuracy,log_loss,brier,mean_p_B,history_A,history_B
P025,balanced,2,20,8,12,0.65,0.682681828804946,0.2442469300784284,0.4682610104600443,1,1
P025,balanced,4,20,8,12,0.75,0.6044963190606486,0.20736195903309368,0.48521420058388054,2,2
P025,balanced,6,20,8,12,0.75,0.5549509930062856,0.18657317778638322,0.5858193191144567,3,3
P025,balanced,8,20,8,12,0.55,0.590591839431658,0.20073786368588475,0.5249980226697105,4,4
P025,balanced,10,20,8,12,0.65,0.6982762245927034,0.23693495151013302,0.6627810854007559,5,5
P025,balanced,12,20,8,12,0.65,0.7180932852249924,0.24450404915001872,0.7071249132697044,6,6
P025,current,0,20,8,12,0.5,0.6920601070494311,0.2494178428441441,0.49418645990378796,0,0
P025,natural,2,20,8,12,0.55,0.7032460858965682,0.2531440498823319,0.7028485578340827,1,1
P025,natural,4,20,8,12,0.6,0.6658187577667236,0.2377343146432019,0.6431853903833235,2,2
P025,natural,6,20,8,12,0.6,0.7138015376771019,0.2598834805487208,0.5183528361008272,4,2
P025,natural,8,20,8,12,0.65,0.6689790045307396,0.23725115515099313,0.4354573312831083,6,2
P025,natural,10,20,8,12,0.5,0.7420801778568907,0.27158331946629194,0.3644639623827005,8,2
P025,natural,12,20,8,12,0.65,0.7128734190315658,0.2567031680674422,0.3935974410012397,9,3
P026,balanced,2,20,11,9,0.6,0.7873759051660412,0.284695057966089,0.48857915153067843,1,1
P026,balanced,4,20,11,9,0.65,0.7077768126282504,0.24858324560311332,0.46667664135739556,2,2
P026,balanced,6,20,11,9,0.55,0.8052337756187953,0.27236492523818545,0.45451754459153315,3,3
P026,balanced,8,20,11,9,0.65,0.7071054436159363,0.23952163482794955,0.6162745367512935,4,4
P026,balanced,10,20,11,9,0.6,0.7647766543458598,0.2703130331482587,0.5663823656366096,5,5
P026,balanced,12,20,11,9,0.7,0.6302503430047789,0.21994119550619923,0.5406758181810982,6,6
P026,current,0,20,11,9,0.6,0.6571238579899805,0.23215414047507688,0.503410518053917,0,0
P026,natural,2,20,11,9,0.4,0.7301251929169001,0.26794981613525853,0.5924285356968033,1,1
P026,natural,4,20,11,9,0.6,0.6543236275728181,0.2303037889623012,0.4473807807829453,3,1
P026,natural,6,20,11,9,0.65,0.6715170233417141,0.23827103775783448,0.4979919212272333,4,2
P026,natural,8,20,11,9,0.65,0.7612805014943881,0.27116123436812056,0.4246516385748871,6,2
P026,natural,10,20,11,9,0.6,0.7718471340259716,0.27456365143611017,0.4131514589849898,6,4
P026,natural,12,20,11,9,0.6,0.7511682035978671,0.26106525998961905,0.44004825919876733,7,5
