history_type,history_k,n,A_targets,B_targets,accuracy,log_loss,brier,mean_p_B
balanced,2,40,19,21,0.625,0.7350288669854936,0.26447099402225877,0.47842008099536126
balanced,4,40,19,21,0.7,0.6561365658444496,0.2279726023181035,0.475945420970638
balanced,6,40,19,21,0.65,0.6800923843125404,0.2294690515122843,0.5201684318529949
balanced,8,40,19,21,0.6,0.6488486415237972,0.22012974925691714,0.570636279710502
balanced,10,40,19,21,0.625,0.7315264394692815,0.25362399232919586,0.6145817255186827
balanced,12,40,19,21,0.675,0.6741718141148857,0.23222262232810897,0.6239003657254012
current,0,40,19,21,0.55,0.6745919825197058,0.2407859916596105,0.4987984889788525
natural,2,40,19,21,0.475,0.7166856394067341,0.26054693300879517,0.6476385467654431
natural,4,40,19,21,0.6,0.6600711926697709,0.23401905180275148,0.5452830855831344
natural,6,40,19,21,0.625,0.6926592805094081,0.24907725915327766,0.5081723786640302
natural,8,40,19,21,0.65,0.7151297530125638,0.2542061947595568,0.4300544849289977
natural,10,40,19,21,0.55,0.7569636559414311,0.273073485451201,0.3888077106838451
natural,12,40,19,21,0.625,0.7320208113147164,0.2588842140285306,0.41682285010000353
