persona,progress,dimension,mean_centered_delta,sem_centered_delta
Outcome-Focused Decision-Maker,0.0,entropy,0.0,0.0
Outcome-Focused Decision-Maker,0.0,expected_value,0.0,0.0
Outcome-Focused Decision-Maker,0.0,maximum_gain,0.0,0.0
Outcome-Focused Decision-Maker,0.0,maximum_loss,0.0,0.0
Outcome-Focused Decision-Maker,0.0,minimum_gain,0.0,0.0
Outcome-Focused Decision-Maker,0.0,minimum_loss,0.0,0.0
Outcome-Focused Decision-Maker,0.0,probability_maximum_gain,0.0,0.0
Outcome-Focused Decision-Maker,0.0,probability_maximum_loss,0.0,0.0
Outcome-Focused Decision-Maker,0.0,probability_minimum_gain,0.0,0.0
Outcome-Focused Decision-Maker,0.0,probability_minimum_loss,0.0,0.0
Outcome-Focused Decision-Maker,0.0,probability_two_largest_gains,0.0,0.0
Outcome-Focused Decision-Maker,0.0,sum_two_largest_gains,0.0,0.0
Outcome-Focused Decision-Maker,0.25,entropy,-0.09843271518204519,0.011294067169277987
Outcome-Focused Decision-Maker,0.25,expected_value,0.021251844456732585,0.013375680132535633
Outcome-Focused Decision-Maker,0.25,maximum_gain,0.0640591104081023,0.01364402517185533
Outcome-Focused Decision-Maker,0.25,maximum_loss,0.01158159297723195,0.010988297263446066
Outcome-Focused Decision-Maker,0.25,minimum_gain,0.038785841983983216,0.015358933393797545
Outcome-Focused Decision-Maker,0.25,minimum_loss,-0.02439404942415441,0.013046401214809336
Outcome-Focused Decision-Maker,0.25,probability_maximum_gain,0.00566271696169023,0.011120854370338103
Outcome-Focused Decision-Maker,0.25,probability_maximum_loss,-0.039617483394865045,0.012974699045913035
Outcome-Focused Decision-Maker,0.25,probability_minimum_gain,0.023449982507863985,0.014146029382060492
Outcome-Focused Decision-Maker,0.25,probability_minimum_loss,-0.040368155681687085,0.012357719659961929
Outcome-Focused Decision-Maker,0.25,probability_two_largest_gains,0.04615809964038156,0.008905724822586178
Outcome-Focused Decision-Maker,0.25,sum_two_largest_gains,0.05556256197212575,0.009955049193583478
Outcome-Focused Decision-Maker,0.5,entropy,-0.07811522252406788,0.012020590630335634
Outcome-Focused Decision-Maker,0.5,expected_value,-0.03786915270564641,0.015610663306968132
Outcome-Focused Decision-Maker,0.5,maximum_gain,-0.05242699769290414,0.014584189690620942
Outcome-Focused Decision-Maker,0.5,maximum_loss,-0.015842559032282794,0.01338027942434544
Outcome-Focused Decision-Maker,0.5,minimum_gain,-0.05797369795119987,0.01453036313106574
Outcome-Focused Decision-Maker,0.5,minimum_loss,-0.00033496720296713445,0.013555174436517181
Outcome-Focused Decision-Maker,0.5,probability_maximum_gain,-0.04442878887545061,0.01343453716620464
Outcome-Focused Decision-Maker,0.5,probability_maximum_loss,0.010887338788906487,0.013482454653025328
Outcome-Focused Decision-Maker,0.5,probability_minimum_gain,-0.026087423775843777,0.016946262384403592
Outcome-Focused Decision-Maker,0.5,probability_minimum_loss,0.009411382055380113,0.011521524032505769
Outcome-Focused Decision-Maker,0.5,probability_two_largest_gains,-0.0251652495496238,0.0102321811035621
Outcome-Focused Decision-Maker,0.5,sum_two_largest_gains,-0.02861222309421001,0.009951768355386265
Outcome-Focused Decision-Maker,0.75,entropy,-0.07858681942369516,0.011858456174416733
Outcome-Focused Decision-Maker,0.75,expected_value,-0.04965981655534383,0.013709369771277406
Outcome-Focused Decision-Maker,0.75,maximum_gain,-0.07710340996100382,0.01310346463562736
Outcome-Focused Decision-Maker,0.75,maximum_loss,-0.03877392242119543,0.011901087153039662
Outcome-Focused Decision-Maker,0.75,minimum_gain,-0.06340342775181051,0.012784752487581777
Outcome-Focused Decision-Maker,0.75,minimum_loss,-0.008185570936736166,0.011548087020084535
Outcome-Focused Decision-Maker,0.75,probability_maximum_gain,-0.03198326040106673,0.013346363342501721
Outcome-Focused Decision-Maker,0.75,probability_maximum_loss,0.03541114255542398,0.012657491533007182
Outcome-Focused Decision-Maker,0.75,probability_minimum_gain,-0.03584509310650788,0.017697487925525265
Outcome-Focused Decision-Maker,0.75,probability_minimum_loss,0.0642320136881558,0.011570846858292235
Outcome-Focused Decision-Maker,0.75,probability_two_largest_gains,-0.05135956459317409,0.009942815744767363
Outcome-Focused Decision-Maker,0.75,sum_two_largest_gains,-0.06317370475338868,0.008510491352510875
Outcome-Focused Decision-Maker,1.0,entropy,-0.08929182267478385,0.013667827132681994
Outcome-Focused Decision-Maker,1.0,expected_value,0.03988765120111633,0.011807162902563163
Outcome-Focused Decision-Maker,1.0,maximum_gain,-0.017727351159586454,0.014677177489032684
Outcome-Focused Decision-Maker,1.0,maximum_loss,0.049943681966530915,0.012494464253316507
Outcome-Focused Decision-Maker,1.0,minimum_gain,-0.020661327304875732,0.013900375573857609
Outcome-Focused Decision-Maker,1.0,minimum_loss,0.07622828078633458,0.01271129597471971
Outcome-Focused Decision-Maker,1.0,probability_maximum_gain,0.00316380513273914,0.011516454807344896
Outcome-Focused Decision-Maker,1.0,probability_maximum_loss,-0.05574065929484858,0.014751997343721691
Outcome-Focused Decision-Maker,1.0,probability_minimum_gain,0.0072783860573952626,0.01503806282916792
Outcome-Focused Decision-Maker,1.0,probability_minimum_loss,0.042948763982029445,0.011157568395806046
Outcome-Focused Decision-Maker,1.0,probability_two_largest_gains,-0.0021311940309126968,0.007679057647183247
Outcome-Focused Decision-Maker,1.0,sum_two_largest_gains,-0.017592541851461987,0.007475205164693616
Probability-Weighted Decision-Maker,0.0,entropy,0.0,0.0
Probability-Weighted Decision-Maker,0.0,expected_value,0.0,0.0
Probability-Weighted Decision-Maker,0.0,maximum_gain,0.0,0.0
Probability-Weighted Decision-Maker,0.0,maximum_loss,0.0,0.0
Probability-Weighted Decision-Maker,0.0,minimum_gain,0.0,0.0
Probability-Weighted Decision-Maker,0.0,minimum_loss,0.0,0.0
Probability-Weighted Decision-Maker,0.0,probability_maximum_gain,0.0,0.0
