sentence_row,trial_row,participant_id,problem_id,choice,persona,sentence_index,sentence_text,reasoning_char_start,reasoning_char_end,prompt_token_end,model_p_b,question_id,question,choice_map,persona_map,z_maximum_gain,z_minimum_gain,z_maximum_loss,z_minimum_loss,z_sum_two_largest_gains,z_probability_maximum_gain,z_probability_minimum_gain,z_probability_maximum_loss,z_probability_minimum_loss,z_probability_two_largest_gains,z_expected_value,z_entropy,choice_evidence_B,is_masked_conclusion
0,0,69576,18,0,Probability-Weighted Decision-Maker,0,"To make this decision, I'll calculate the expected value of each option.",0,72,136,0.0600866451859474,Q01,"Which option do you prefer? Option A: 1000.0 dollars with 25.0 % chance, 0.0 dollars with 75.0 % chance. Option B: 240.0 dollars with 100.0 % chance.",0,Probability-Weighted Decision-Maker,-0.88222224,-0.76623994,0.26618057,0.58264375,-0.59356534,-0.32333034,-0.40635002,0.30894187,0.17459853,-0.37890485,-0.36180675,0.5345639,-0.7793844,False
1,0,69576,18,0,Probability-Weighted Decision-Maker,1,The expected value is the sum of the probabilities of each outcome multiplied by the value of each outcome.,73,180,156,0.0600866451859474,Q01,"Which option do you prefer? Option A: 1000.0 dollars with 25.0 % chance, 0.0 dollars with 75.0 % chance. Option B: 240.0 dollars with 100.0 % chance.",0,Probability-Weighted Decision-Maker,-0.63372713,-0.7176571,0.14193246,0.5986838,-0.30185658,-0.3229531,-0.351735,0.33375296,0.50436574,-0.3415788,-0.24239732,0.51106036,-0.8051083,False
2,0,69576,18,0,Probability-Weighted Decision-Maker,2,"For Option A, the expected value is (1000.0 dollars * 25.0 %) + (0.0 dollars * 75.0 %), which equals 250 dollars.",183,296,202,0.0600866451859474,Q01,"Which option do you prefer? Option A: 1000.0 dollars with 25.0 % chance, 0.0 dollars with 75.0 % chance. Option B: 240.0 dollars with 100.0 % chance.",0,Probability-Weighted Decision-Maker,0.15897733,0.25982806,0.012038797,-0.052275836,-0.052506465,0.11205938,0.018906623,-0.048624218,-0.055405118,0.11700122,-0.16098662,0.17320344,0.11957586,False
3,0,69576,18,0,Probability-Weighted Decision-Maker,3,"For Option B, the expected value is 240.0 dollars * 100.0 %, which equals 240 dollars.",298,384,234,0.0600866451859474,Q01,"Which option do you prefer? Option A: 1000.0 dollars with 25.0 % chance, 0.0 dollars with 75.0 % chance. Option B: 240.0 dollars with 100.0 % chance.",0,Probability-Weighted Decision-Maker,-0.10366726,-0.02086274,0.6058334,0.55025125,0.018283155,0.3370527,0.48824096,-0.37513423,-0.3250286,0.3838892,0.26642802,-0.06736597,0.307369,False
4,0,69576,18,0,Probability-Weighted Decision-Maker,4,"Based on these calculations, Option A has a higher expected value than Option B.",386,466,251,0.0600866451859474,Q01,"Which option do you prefer? Option A: 1000.0 dollars with 25.0 % chance, 0.0 dollars with 75.0 % chance. Option B: 240.0 dollars with 100.0 % chance.",0,Probability-Weighted Decision-Maker,-0.50529164,-0.40618885,0.09485844,0.031107605,-0.333524,-0.14205645,-0.1872083,0.05740574,0.047088116,-0.14890665,-0.33541757,0.14222506,-0.33509958,False
5,0,69576,18,0,Probability-Weighted Decision-Maker,5,"So, I will choose Option X.",468,495,260,0.0600866451859474,Q01,"Which option do you prefer? Option A: 1000.0 dollars with 25.0 % chance, 0.0 dollars with 75.0 % chance. Option B: 240.0 dollars with 100.0 % chance.",0,Probability-Weighted Decision-Maker,-0.046477873,-0.3116323,-0.5152695,-0.42318273,0.08940447,-0.35491645,-0.41340345,0.46776888,0.2041967,-0.31135944,-0.7975259,0.082249776,-0.5526943,True
6,1,69576,19,0,Probability-Weighted Decision-Maker,0,"To make this decision, I need to calculate the expected values of both options.",0,79,136,0.1066906005144119,Q02,"Which option do you prefer? Option A: -500.0 dollars with 80.0 % chance, 0.0 dollars with 20.0 % chance. Option B: -400.0 dollars with 100.0 % chance.",0,Probability-Weighted Decision-Maker,-0.7271243,-0.61411726,0.19162399,0.56430197,-0.52849483,-0.3003986,-0.4078449,0.29495397,0.19402353,-0.36633196,-0.326842,0.58038455,-1.4858083,False
7,1,69576,19,0,Probability-Weighted Decision-Maker,1,"For Option A, the expected value is calculated as the sum of the outcomes times their respective probabilities.",82,193,157,0.1066906005144119,Q02,"Which option do you prefer? Option A: -500.0 dollars with 80.0 % chance, 0.0 dollars with 20.0 % chance. Option B: -400.0 dollars with 100.0 % chance.",0,Probability-Weighted Decision-Maker,-0.80237496,-0.67990613,0.11269623,0.38440955,-0.4674607,-0.3498528,-0.38797277,0.40888557,0.44036138,-0.28723487,-0.477629,0.36470217,-1.1129792,False
8,1,69576,19,0,Probability-Weighted Decision-Maker,2,"So, for Option A, the expected value would be (-500 dollars * 0.8) + (0 dollars * 0.2) = -400 dollars.",194,296,196,0.1066906005144119,Q02,"Which option do you prefer? Option A: -500.0 dollars with 80.0 % chance, 0.0 dollars with 20.0 % chance. Option B: -400.0 dollars with 100.0 % chance.",0,Probability-Weighted Decision-Maker,-0.12962376,-0.02948023,-0.024938375,-0.10392508,-0.18534367,-0.074287996,0.048725784,-0.05308366,0.038166076,0.017873585,-0.35309535,0.32847238,-1.1583755,False
9,1,69576,19,0,Probability-Weighted Decision-Maker,3,"For Option B, since there's a 100% chance of losing 400 dollars, the expected value is simply -400 dollars.",298,405,230,0.1066906005144119,Q02,"Which option do you prefer? Option A: -500.0 dollars with 80.0 % chance, 0.0 dollars with 20.0 % chance. Option B: -400.0 dollars with 100.0 % chance.",0,Probability-Weighted Decision-Maker,-0.38908798,-0.43497583,0.5379073,0.56681746,-0.14805904,-0.028984174,0.012571931,-0.2448574,-0.23173717,0.0827744,0.064237535,0.3766678,-1.7931473,False
